Equipment_Type,Installation_Count,Failure_Count,Avg_Failure_Rate,Avg_MTBF,Avg_MTTR,Avg_Direct_Cost,Avg_Total_Cost,Avg_RPN,Uptime_Pct
"FIRE PROTECTION/FIGHTING SYSTEM,FACILITY_1",39,76,1.4383143629258293,194.55861895730317,10.406500101294904,933.6407894736842,15168.261700138504,1.3236563631300473,94.9227945959333
"FIRE PROTECTION/FIGHTING SYSTEM, SITE_1",32,66,1.272001365053474,163.17045211732713,16.156925284992784,684.8136363636363,24515.584690519918,2.3779260862594196,90.99026288175463
POINT GAS DETECTOR CNDST SPIKING PUMP,25,38,0.29884670638229477,533.9403091060985,15.425767788220552,1557.032105263158,27350.838157894737,0.06314397103870788,97.19207857255664
LOCATION_C UBIE OIL & GAS INTEGRETED FACILTY,1,32,2.229433097919451,109.8709677419355,58.329896875,5832.9896874999995,106087.49994140626,3.1686507936507935,65.32128594710744
"74PZT-221,FIRE SYSTEM,FACILITY_1",15,28,0.6942096365173288,272.3610969387755,7.900582993197278,845.9214285714286,13000.23633786848,0.48469387755102034,97.18099777496695
"FIRE PROTECTN & FIRE FIGHTING SYS,KRMS1",13,24,0.5602611821594452,252.99734848484846,10.922668392857142,978.0841666666666,18159.531607142857,1.0033068783068784,95.86137174357697
LOCATION_C  REMOTE INTEGRATED FACILITY,1,23,1.602405039129605,131.8636363636364,5.319199999999999,531.92,10091.062028985505,5.211180124223602,96.12254700296458
"FIRE SYSTEM,LOCATION_A FACILITY_2",12,22,0.4433531728817089,401.4378787878788,5.220463636363636,498.04545454545456,8039.207713498621,1.472883597883598,98.71625315609106
"EQ-FS-535/A,FIRE SYSTEM,FACILITY_1",12,22,0.4813548734144268,413.3004662004662,13.44179853896104,848.0336363636364,20874.748315623772,0.3486050986050986,96.85013656962974
"EQ-FS-103/A,FIRE SYSTEM,ETELEBOU FACILITY_2",12,22,0.4686876399035208,234.95757575757577,6.99015606060606,653.6363636363636,11211.028007346189,0.5087181337181337,97.11088175612285
"51LZT-253,XHP SEPARATOR,TR2,SEP SYS,FACILITY_1",12,22,0.5478578493466831,279.0881313131313,9.251458310023308,972.9672727272726,15098.56357420357,0.43482443482443484,96.79147136121179
"FIRE PROTECTION/FIGHTING SYSTEM, FLB",11,22,0.49402210692533277,413.04924242424244,60.05923101731602,7446.849090909091,119699.72564738292,1.027116402116402,87.30539941920212
"55FZT-101,EXP PMP A,TR1,PMP SYS,FACILITY_1",11,20,0.42498568429089517,497.63888888888886,7.361403333333333,767.99,13740.628333333332,0.0,98.54229721314815
"EQ-FS-578/A,FIRE SYSTEM,FACILITY_1",11,20,0.470271044092384,360.96611111111116,11.333318333333333,1051.804,20649.245111111108,0.7214285714285713,96.95585933337443
"GAS SEPARATION SYSTEM,FACILITY_1",1,19,1.323725901889674,74.61111111111111,142.5951052631579,14259.51052631579,289443.0469990766,3.763575605680869,34.350357165905585
"GAS COMPRESSION SYSTEM,FACILITY_1",1,18,1.254056117579691,296.3529411764706,66.09371666666667,6609.371666666667,142468.67814814814,2.3818342151675487,81.76456721659956
"STN. FAILSAFE PANEL, ADIB F/S",10,18,0.39092490085045917,222.81712962962962,13.277759259259259,1428.9722222222222,22423.76090534979,0.36111111111111105,94.3760920358136
"55FZT-011,COND STORAGE TANK,PMP SYS,FACILITY_1",10,18,0.3793132701321287,540.5902777777778,9.62509074074074,606.4444444444445,15690.003703703704,0.0,98.25066850337954
"11LZT-401,KC NAG CATCH,GAS SEP SYS,FACILITY_1",10,18,0.39092490085045917,197.0236111111111,4.943428703703703,523.8877777777777,8283.397139917695,0.7160493827160495,97.55235868771639
"55LZT-005,COND STORAGE TANK,PMP SYS,FACILITY_1",10,18,0.42963033657822736,361.35833333333335,23.054505643738974,2535.1544444444444,45231.76011757789,0.4624485596707819,94.00267022686148
"55FZT-121,EXP PMP B,TR1,PMP SYS,FACILITY_1",10,18,0.47994740302432615,550.7797839506172,6.667545046296296,636.9944444444444,12257.953734567902,0.04115226337448561,98.80391479168192
"EQ-FS-104/A,FIRE SYSTEM,FACILITY_1",9,16,0.39189253674365343,424.6934523809524,4.908459821428571,462.1375,7949.692931547619,0.06613756613756615,98.85743995033332
"EQ-FS-315/A,FIRE SYSTEM,FACILITY_1",9,16,0.4572079595342623,402.4379464285714,15.151201682692308,1507.45,26051.90718482906,0.34077380952380953,96.37174439249188
"EQ-FS-365/A,FIRE SYSTEM,FACILITY_1",9,16,0.34399456003054024,480.09375,3.684645833333333,316.6375,5545.014236111111,0.6289682539682541,99.23836081456545
"67LT-007,OPEN DRAIN TANK,SEW SYS,FACILITY_1",1,16,1.114716548959725,319.6,27.97166875,2797.166875,55826.78888020833,1.5625,91.95225869513565
"EQ-FS-117/A,FIRE SYSTEM,FACILITY_1",9,16,0.4049556213017752,485.43839285714284,86.01775875,617.0125,89231.55753472222,0.531415343915344,84.94761872663604
"AG CP ST1 PKG,TR1,COMP SYS,FACILITY_1",9,16,0.4572079595342623,502.9423363095238,46.31796046245421,5386.56125,81713.95553228022,0.6165674603174605,91.56721125945813
"EQ-FS-306/A,FIRE SYSTEM,FACILITY_1",9,16,0.4397905134567666,447.00099206349205,27.829104970238095,3329.88,40420.07665674603,0.20502645502645506,94.13914468689183
"EQ-FD-305,FIRE SYSTEM,ZARAMA FACILITY_2",8,14,0.35332533471491295,574.1428571428571,30.68821273809524,3341.3571428571427,57997.82849206349,0.1345427059712774,94.92615140552626
"EQ-FS-188,FIRE SYSTEM,FACILITY_1",8,14,0.30853761622992393,523.25,16.387867857142854,841.8714285714286,30230.306122448983,0.10251322751322753,96.96317311418161
"55FZT-141,EXP PMP C,TR1,PMP SYS,FACILITY_1",8,14,0.33341968205491784,577.0714285714286,10.51012857142857,1104.21,19712.367142857143,0.0,98.21129025517162
"51LZT-152,XHP SEPARATOR,TR1,SEP SYS,FACILITY_1",8,14,0.3583017478799117,751.0888278388278,9.715838775510205,755.1285714285714,17502.544217687075,0.0,98.72295226332578
"EQ-FS-595/A,FIRE SYSTEM,FACILITY_1",8,14,0.3931366400349031,410.40175300889587,15.269878954081634,1298.9371428571428,27968.537908163267,0.06802721088435373,96.41275626386827
"67LZT-004,CL DRAIN VESSEL,SEW SYS,FACILITY_1",8,14,0.39313664003490306,452.9295634920635,5.375601031746031,493.7142857142857,8550.51335222978,0.15211640211640215,98.82706950567939
"EQ-FS-726,FIRE SYSTEM,FACILITY_1",8,14,0.3583017478799117,303.220695970696,7.7574178571428565,670.6871428571429,14334.003639455781,0.2923280423280424,97.50547787377813
"EQ-FS-515/A,FIRE SYSTEM,FACILITY_1",8,14,0.4329479453548933,674.109126984127,27.77323525641026,2789.5814285714287,45622.546861154726,0.35648148148148145,96.04303559249544
"EQ-FS-316/A,FIRE SYSTEM,FACILITY_1",8,14,0.373230987374908,280.0912698412698,24.139992142857142,3401.924285714286,32715.652482993195,0.005668934240362836,92.06524931546429
"METER SYSTEM,FACILITY_1",1,14,0.9753769803397595,363.8461538461539,34.98336428571428,3498.3364285714283,70966.25326530612,2.851473922902494,91.22849170001818
"SMOKE DETECTOR 1,FIRE PROTCTN SYS, SITE_1",8,14,0.3433725083849154,159.2738095238095,6.484855229591836,578.2071428571428,10817.070025510202,0.33635676492819355,96.08777300466353
"51LV-131,SURGE VESSEL,TR1,SEP SYS,FACILITY_1",1,13,0.9057071960297767,406.0833333333333,60.13341538461538,6013.341538461538,104693.81806706115,0.23809523809523814,87.10183288138478
"FLAME DETECTOR3, FIRE PROTCTN SYS, SITE_1",7,12,0.3367372908315836,233.95208333333335,9.859431828703704,978.7816666666666,18235.236450617285,0.21164021164021163,95.95612544298774
"74PZT-186,FIRE SYSTEM,FACILITY_1",7,12,0.4528535980148883,350.15972222222223,18.885070299145298,1044.3333333333333,21922.415954415952,0.30952380952380953,94.88271595160042
"EQ-FS-624,FIRE SYSTEM,FACILITY_1",7,12,0.3715721829865751,244.57916666666665,11.273600656288155,874.3000000000001,21275.118839031336,0.5251322751322751,95.59371556764995
"EQ-FS-724/A,FIRE SYSTEM,FACILITY_1",7,12,0.2844849525990965,391.56666666666666,5.141843055555555,461.32666666666665,10490.292407407407,0.40277777777777773,98.70387376888992
"EQ-FS-647,FIRE SYSTEM,FACILITY_1",7,12,0.3599605522682446,338.6730769230769,6.245029761904761,675.5666666666667,10700.489285714286,0.5756172839506174,98.18941666416822
"EQ-FD-301,FIRE SYSTEM,ZARAMA FACILITY_2",7,12,0.3193198447540879,360.23333333333335,11.15551851851852,1013.4166666666666,20936.34104938272,0.1455026455026455,96.99626995724458
"EQ-FS-516/A,FIRE SYSTEM,FACILITY_1",7,12,0.29029076795826175,599.9111111111112,11.280416666666666,1336.3333333333333,18486.19444444444,0.0,98.15435650626884
TEXSTEAM CHEMICAL INJECTION PUMP MSM 500,2,12,0.4296303365782274,105.39583333333333,3.0898333333333334,308.98333333333335,4507.561111111111,0.6190476190476191,97.15185108939123
"EQ-FS-607,FIRE SYSTEM,FACILITY_1",7,12,0.4006012597824012,232.45833333333334,56.63752896825397,10734.081666666667,102091.99374779541,0.511904761904762,80.408737600966
"21LZT-205,ST2 SUC SCBER,TR2,CP SYS,FACILITY_1",7,12,0.3367372908315836,419.6958333333334,10.253581410256409,680.1666666666666,15222.812250712252,0.047619047619047616,97.61516563143331
"11FT-402,KC NAG CATCH,GAS SEP SYS,FACILITY_1",1,12,0.8360374117197938,260.7272727272727,5.711975,571.1975,9615.157916666665,0.20502645502645503,97.85618108115709
"SHUTDOWN VALVE595,EXP LQD MA,ES SYS",7,12,0.3657663676274098,362.5619658119658,11.01495634920635,1152.6666666666667,14946.641534391538,0.27579365079365076,97.0514890787461
"11LZT-402,KC NAG CATCH,GAS SEP SYS,FACILITY_1",7,12,0.5863873512756888,211.81272893772893,34.672917013888885,4046.0516666666667,65980.54194444444,0.4126984126984126,85.93308876870877
"OPGD. DET-TRONICS.SOS AREA, FP SYS,GBRG1",7,12,0.3599605522682446,169.45000000000002,12.730567857142859,1000.6666666666666,23615.320899470902,0.3988095238095238,93.01211539359919
