Equipment_Type,RPN,Failure_Rate,MTTR,Priority,Avg_Cost,Installation_Count,Failure_Count,Annual_Failure_Probability,Consequence_Score,Risk_Score,Risk_Level
"EQ-FS-103/B,FIRE SYSTEM,LOCATION_C FACILITY_2",0.0,0.06966978430998283,27177.5785,6.0,57072914.85,2,2,0.999999999990961,23295.067285714285,23295.067285503723,High
"GAS DETECTOR 15, FIRE PROTECTN SYS,SITE_1",0.0,0.13933956861996566,13586.78925,5.5,27399949.9875,3,4,1.0,10675.334410714286,10675.334410714286,High
"EQ-FS-103/A,FIRE SYSTEM,LOCATION_A FACILITY_2",0.0,0.06966978430998283,1795.393,6.0,3770325.3,2,2,0.999999999990961,1538.9082857142857,1538.9082857003755,High
"RMS CABINET 101, PC SYSTEM",0.0,0.06966978430998283,1310.5287,7.0,3188953.170000001,1,1,0.999999999990961,1310.5287,1310.5286999881541,High
"EQ-FS-120,FIRE SYSTEM,FACILITY_1",0.3730158730158731,0.296096583317427,1756.04487375,5.0,3299100.76375,5,8,1.0,1254.317766964286,1254.317766964286,High
"PORTABLE / FRESH WATER SYSTEM,LOCATION_C FLB",0.0,0.1393395686199657,1126.3551,7.0,2740797.41,1,2,1.0,1126.3551,1126.3551,High
"EQ-GM-801,GAS IMP METER A,METER SYS,FACILITY_1",0.0,0.06966978430998283,550.0,7.0,1338333.3333333333,1,1,0.999999999990961,550.0,549.9999999950286,High
"PROCESS CONTROL SYSTEM, ADIA1 ,KOLO CRK",0.0,0.1393395686199657,546.7342,6.0,1148141.8199999998,1,2,1.0,468.6293142857143,468.6293142857143,High
"EQ-IC-105,IN COOLER A,ST1,TR1,CP SYS,FACILITY_1",0.0,0.2090093529299485,500.3949666666667,6.333333333333333,1106428.8707407406,1,3,1.0,452.7383031746032,452.7383031746032,High
"EQ-LE-103,LIQUID EXPORT SYS, TRAIN 1FACILITY_1",0.0,0.2090093529299485,473.6763333333333,6.0,994720.2999999998,1,3,1.0,406.00828571428565,406.00828571428565,High
"EQ-NG-910,KOMA2 NAG SGCTH,GAS SEP SYS,FACILITY_1",0.6111111111111109,0.3483489215499141,522.95432,5.4,993613.2080000002,1,5,1.0,403.4219040000001,403.4219040000001,High
"EQ-TS-017,HP/LP TEST SEPARAT,SEP SYS,FACILITY_1",0.0,0.06966978430998283,390.7428,7.0,950807.4800000001,1,1,0.999999999990961,390.7428,390.7427999964681,High
"EQ-EM-104/A,EXP METER,TR1,METER SYS,FACILITY_1",0.0,0.11611630718330473,429.99289999999996,6.333333333333333,952337.4788888888,2,3,1.0,389.04119523809516,389.04119523809516,High
EQ-FD-390 UV FLAME DETECTORS,0.0,0.06966978430998283,450.1233,6.0,945258.9299999999,2,2,0.999999999990961,385.8199714285714,385.819971425084,High
"EQ-FS-394,ACOUSTIC ENCLOS VENTILAT INLET",0.0,0.15095119933829612,421.4113666666667,6.333333333333333,976547.1451851852,4,6,1.0,381.2769507936508,381.2769507936508,High
"EQ-CT-108,GLY CONTACTOR,TR1,GLY SYS,FACILITY_1",0.20171957671957674,0.4296303365782274,645.5216977777777,4.0,860964.6062962962,4,6,1.0,368.86954158730157,368.86954158730157,High
MARSHALLING CABINET FOR F&G MAPPING,0.0,0.06966978430998283,410.0391,6.0,861082.1100000001,1,1,0.999999999990961,351.46208571428576,351.4620857111089,High
"STN. FAILSAFE PANEL, ETELEBOU F/S",0.2731481481481482,0.12192212254246998,466.819475,5.0,918892.1816666665,3,4,1.0,333.44248214285716,333.44248214285716,High
"EQ-FS-643,FIRE SYSTEM,FACILITY_1",0.0,0.17417446077495707,299.8483125000001,7.0,747339.2925,2,2,1.0,299.8483125000001,299.8483125000001,High
"LOCATION_B FACILITY_3,LOCATION_A",0.0,0.1393395686199657,316.6998,6.5,717852.88,1,2,1.0,294.0783857142857,294.0783857142857,High
"66FT-020,LP FLARE TIP,FLARE SYS,FACILITY_1",0.0,0.2090093529299485,359.70436666666666,5.666666666666667,715412.0181481483,1,3,1.0,291.18924920634925,291.18924920634925,High
"20PV-008,MFOLD SYSTEM,FACILITY_1",0.4444444444444444,0.6270280587898454,300.2840111111111,6.666666666666667,697326.2035802468,1,9,1.0,285.9847724867725,285.9847724867725,High
"EQ-NG-404,KC NAG CATCH,GAS SEP SYS,FACILITY_1",0.0,0.4876884901698798,340.477,5.714285714285714,682575.319047619,1,7,1.0,277.94040816326526,277.94040816326526,High
"HIPPS PANEL2, PRODUCTION SEPERATOR",0.0,0.4180187058598969,644.72217,3.0,645786.1699999999,2,2,1.0,276.3095014285714,276.3095014285714,High
"FLARE STACK,FLARE SYSTEM,ADIA1",0.0,0.06966978430998283,255.5442,7.0,621824.22,1,1,0.999999999990961,255.5442,255.54419999769013,High
"FLOW TIMER, BSTR COMP.TRAIN 3",0.0,0.06966978430998283,293.3734,6.0,616084.14,1,1,0.999999999990961,251.4629142857143,251.46291428344134,High
"EQ-FS-821/A,FIRE SYSTEM,FACILITY_1",1.0515873015873014,0.3309314754724184,283.923445,6.0,617960.31,3,4,1.0,243.36295285714286,243.36295285714286,High
"FLOW TRNSMTR1,KRM TBUV-3 WET GAS METER",0.0,0.06966978430998283,238.7146,7.0,580872.1933333332,1,1,0.999999999990961,238.7146,238.71459999784224,High
"10XSV-005,MFOLD SYSTEM,ZARAMA FACILITY_2",0.0,0.34834892154991415,328.21291833333333,5.0,654222.281111111,3,4,1.0,234.43779880952383,234.43779880952383,High
"41TZT-104,GLY CONTACTOR,TR1,GLY SYS,FACILITY_1",0.0,0.2612616911624356,325.398335,5.0,542999.3083333332,3,4,1.0,232.4273821428571,232.4273821428571,High
"55FV-242,EXP PMP C,TR2,PMP SYS,FACILITY_1",0.0,0.2786791372399313,309.26195,5.25,572134.6075,1,4,1.0,231.94646250000002,231.94646250000002,High
"69LZT-205,LP FG SCBER,TR2,FUEL SYS,FACILITY_1",1.607142857142857,0.2612616911624356,324.183785,5.0,647399.2233333333,3,4,1.0,231.55984642857143,231.55984642857143,High
"P/GGE, C/OIL PMP DSCHRG HDR, ETEL F/S",0.0,0.06966978430998283,249.4338,6.0,523810.9799999999,1,1,0.999999999990961,213.8004,213.80039999806746,High
"P.D.M.1, O/METERG SYS (SKID), ETEL F/S",0.0,0.1393395686199657,246.53355,6.0,517720.4549999999,1,2,1.0,211.3144714285714,211.3144714285714,High
"EQ-FS-656/A,FIRE SYSTEM,FACILITY_1",0.0,0.10450467646497426,366.3977,4.0,488830.26666666666,2,2,1.0,209.37011428571427,209.37011428571427,High
"INSTRUMENT & UTILITY AIR  SYSTEM, ADIA1",0.0,0.2090093529299485,281.3916666666667,5.0,497125.2777777778,1,3,1.0,200.99404761904765,200.99404761904765,High
"FREE LIQ KNOCK OUT VES PROD SEP, ETEF1",0.0,0.1393395686199657,234.309,6.0,492048.89999999997,1,2,1.0,200.8362857142857,200.8362857142857,High
LCV HP 1 SEP OIL OUTLET,0.0,0.06966978430998283,224.3,6.0,471030.0,1,1,0.999999999990961,192.2571428571429,192.25714285540508,High
"66FI-020,LP FLARE TIP,FLARE SYS,FACILITY_1",0.0,0.4180187058598969,250.0668833333334,5.166666666666667,455677.431851852,1,6,1.0,184.57317579365085,184.57317579365085,High
"EQ-NG-604,KOR NAG CATCH,GAS SEP SYS,FACILITY_1",1.1825396825396826,0.6270280587898454,211.1537,5.888888888888889,435602.26259259257,1,9,1.0,177.6372396825397,177.6372396825397,High
"UTILTY/INSTR AIR COMPR,INSTRMNT AIR SYS",0.0,0.06966978430998283,177.2849,7.0,431393.25666666665,1,1,0.999999999990961,177.28489999999996,177.2848999983975,High
"45PT-901,GAS IMP METER B,METER SYS,FACILITY_1",0.0,0.1393395686199657,190.27435,6.5,431288.5266666667,1,2,1.0,176.683325,176.683325,High
"JB108E1-PWR-2,POWER SYS,FACILITY_1",0.351851851851852,0.2090093529299485,174.2615666666667,7.0,424036.478888889,1,3,1.0,174.2615666666667,174.2615666666667,High
"LVL GAUGE2 ON 2-V-2604, GBRG1",0.0,0.2090093529299485,190.51076666666668,6.333333333333333,421240.4729629631,1,3,1.0,172.36688412698413,172.36688412698413,High
"12MOV-443,MFOLD SYSTEM,ETELEBOU FACILITY_2",0.0,0.3483489215499141,201.00264,6.0,422105.54399999994,1,5,1.0,172.28797714285716,172.28797714285716,High
