Equipment_Type,Risk_Score,Primary_Risk_Factor,Mitigation_Actions,Risk_Reduction,Reduced_Risk_Score,Implementation_Cost,Cost_per_Risk_Point
"LEVEL TRANSMITTER012,COND STORAGE TNK",45.144485714285715,High failure probability,"Implement condition monitoring sensors, Establish predictive maintenance program, Increase spare parts inventory, Deploy redundant systems where possible",0.692409851078653,13.885999083834763,102.71932121983487,3.286125858689819
"12XZV-520,ETE TEST PIG REC,MFOLD SYS,FACILITY_1",9.512142857142859,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6896243077720323,2.952337923857033,21.686961808468986,3.3060376076771423
"PRESSURE TRANSMITTER401,COLD SEPRTR",10.897857142857143,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6681398019140679,3.616565030140762,24.21404243258875,3.325514490800368
"21USV-105,AG CP ST2,TR1,COMP SYS,FACILITY_1",14.33142857129903,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6740774741687873,4.670935398727388,33.28804400838103,3.445791370454402
"55PZT-207,EXP PMP A,TR2,PMP SYS,FACILITY_1",15.917473469387755,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6616451391831737,5.385754520290219,36.38955695933463,3.4552343387831153
"FIRE PROTECT/FIGHTING SYSTEM, ADIA1",34.263333333333335,High failure probability,"Implement condition monitoring sensors, Establish predictive maintenance program, Increase spare parts inventory, Deploy redundant systems where possible",0.6840054095326435,10.82702798471319,81.25780787813261,3.4671765310020084
"EQ-FS-607,FIRE SYSTEM,FACILITY_1",35.061327456538166,High failure probability,"Implement condition monitoring sensors, Establish predictive maintenance program, Increase spare parts inventory, Deploy redundant systems where possible",0.6460829632496238,12.408801117952592,80.91125784641318,3.571842567890169
"EQ-FS-486/B,FIRE SYSTEM,FACILITY_1",23.23367142857143,High failure probability,"Implement condition monitoring sensors, Establish predictive maintenance program, Increase spare parts inventory, Deploy redundant systems where possible",0.6742976376667041,7.567261669961315,56.6826048103377,3.61809793588384
"AIR COMP PACKAGE, ADIB F/S",11.180375,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6125247977591336,4.332118064253726,25.46956883506353,3.7191316088212805
"21TE-612,GT,AG CP,TR2,COMP SYS,FACILITY_1",12.214285714285714,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6511379441057932,4.261100825564955,29.585670645417665,3.719977727083422
"LP FUEL GAS SCBER,TR1,FUEL SYS,FACILITY_1",18.723085714116475,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6909335334582244,5.786677944420776,48.40926143703668,3.742094582890178
"PUMP, CORROSION INHIBITOR PCKG, CS SYS",11.481428571428571,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6247366922747608,4.308558863125353,26.861665984249527,3.744898077983324
"EQ-FS-820/A,FIRE SYSTEM,FACILITY_1",41.74473570168807,High failure probability,"Implement condition monitoring sensors, Establish predictive maintenance program, Increase spare parts inventory, Deploy redundant systems where possible",0.6867908442505875,13.074833426108082,107.50488772391296,3.749747267728981
LEVEL SWITCH ON FUEL GAS FILTER (V-2736),11.77999999989352,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.574542098266088,5.01189408238018,25.503409449631814,3.7681752857381388
"66TZT-001,HP KO DRUM 1,FLARE SYS,FACILITY_1",11.874104761904759,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6050819183342911,4.689298674069086,27.07465281143102,3.7683206032895034
